"","AD1","AD2","AD3","AH1","AH2","AH3","CD1","CD2","CD3","CH1","CH2","CH3","LD1","LD2","LD3","LH1","LH2","LH3","VD1","VD2","VD3","VH1","VH2","VH3"
"Pyrenochaetopsis.decipiens",0,0,0,144,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,123,0,0,0,0
"Pyrenochaetopsis.leptospora",1,0,0,0,34,5,0,28,0,0,0,5,0,0,20,0,0,0,3,66,49,0,29,0
"Pyrenochaetopsis.microspora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pyrenochaetopsis.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Pyrenophora.lolii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0
"Pyrenophora.teres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0
"Pyrenophora.triseptata",0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Pyronema.sp",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Querciphoma.carteri",0,0,3,0,0,0,1,0,0,1658,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"Ramariopsis.corniculata",0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramophialophora.sp",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Ramularia.glennii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0
"Ramularia.grevilleana",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Remersonia.sp",0,0,1,0,26,0,10,26,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0
"Rhexocercosporidium.panacis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,12,0
"Rhinocladiella.sp",0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
"Rhizina.undulata",0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Rhizopus.oryzae",4,0,2,0,0,0,2,0,0,0,0,7,9,0,0,1,0,0,0,0,14,0,13,0
"Rhodotorula.babjevae",2,0,0,0,33,10,2,68,0,0,0,0,15,2,6,0,7,7,10,0,44,0,39,0
"Rhodotorula.diobovata",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula.mucilaginosa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula.sp",0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodoveronaea.varioseptata",0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,3,1,7,0,0,41,0,0,0
"Rinodina.sophodes",0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,4,0
"Russula.livescens",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russula.nigricans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Russula.sp",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,0,2,0
"Saccharomyces.cerevisiae",0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,17,0,3,0
"Sagenomella.diversispora",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"Sagenomella.sp",8,0,7,0,37,7,19,180,0,3,0,28,11,26,0,9,11,9,17,0,275,0,150,0
"Saitozyma.podzolica",8,0,22,126,11,27,12,215,0,37,359,14,12,8,51,3,9,12,26,294,103,289,100,394
"Sakaguchia.lamellibrachiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,22,0
"Sampaiozyma.ingeniosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Sarcinomyces.sp",0,0,4,0,0,0,0,11,0,9,0,0,0,1,38,8,4,6,0,0,0,0,4,0
"Sarocladium.implicatum",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarocladium.strictum",4,0,6,0,0,0,3,66,0,0,0,0,0,5,0,0,0,28,0,0,0,0,20,0
"Schizothecium.carpinicola",1,0,18,0,30,2,9,87,0,6,131,10,40,120,128,10,3,48,1,71,88,342,27,72
"Schizothecium.curvisporum",0,0,0,0,0,0,0,0,0,2,0,6,0,6,28,1,0,5,0,0,0,0,0,0
"Schizothecium.miniglutinans",0,0,0,0,0,0,0,0,0,0,53,4,0,0,0,0,0,0,0,0,0,0,2,0
"Schizothecium.sp",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,50
"Scleroderma.verrucosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Sclerostagonospora.sp",0,0,1,0,0,0,0,0,0,0,0,9,0,0,25,2,0,7,0,0,0,0,13,0
"Sclerotinia.minor",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Scolecobasidium.sp",0,0,0,0,0,1,6,6,0,0,0,3,0,0,0,0,0,8,1,0,0,0,18,0
"Scoliciosporum.chlorococcum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scopulariopsis.brevicaulis",0,0,0,0,6,5,0,18,0,1,0,0,0,0,14,3,0,0,0,0,0,0,9,0
"Scopulariopsis.candida",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scutellinia.sp",2,0,0,0,0,13,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0
"Scutellinia.torrentis",1,0,0,0,0,7,10,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0
"Scytalidium.circinatum",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0
"Scytalidium.cuboideum",0,0,0,0,0,0,0,40,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0
"Scytalidium.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0
"Sebacina.sp",0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,10,0
"Seifertia.azaleae",0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Septofusidium.herbarum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,64,7,0
"Septoria.glycines",0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Septoria.pistaciarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0
"Serendipita.indica",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Serendipita.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,0
"Serendipita.vermifera",0,0,0,0,18,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Serpula.himantioides",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Setophaeosphaeria.hemerocallidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Setophaeosphaeria.sp",0,0,1,0,11,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,15,0
"Setophoma.terrestris",6,0,25,0,32,1,11,108,0,0,0,11,3,44,12,7,4,30,6,0,42,0,105,0
"Sistotrema.sp",0,0,0,0,0,0,0,120,0,6,0,3,0,0,0,0,0,0,0,0,1,0,37,0
"Sistotremastrum.guttuliferum",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smittium.morbosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Sodiomyces.alcalophilus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,73,0,0,0
"Solicoccozyma.aeria",36,0,93,428,329,213,163,985,5102,96,925,375,217,354,207,68,70,199,102,679,1312,1294,700,722
"Solicoccozyma.phenolica",18,0,23,0,79,75,52,407,0,31,0,37,31,48,114,14,15,28,63,0,116,0,275,0
"Solicoccozyma.terrea",0,0,0,148,0,0,0,0,546,0,134,0,0,0,0,0,0,0,0,553,0,109,0,0
"Solicoccozyma.terricola",0,0,4,0,0,35,6,67,0,3,0,4,7,5,0,3,5,14,0,167,0,53,11,0
"Spiromastix.princeps",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Spiromastix.sp",1,0,8,0,0,3,0,31,0,11,0,1,0,0,20,0,0,0,1,0,40,0,24,0
"Spiromastix.warcupii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
"Spirosphaera.cupreorufescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Sporobolomyces.beijingensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sporobolomyces.lactosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"Sporobolomyces.sp",0,0,0,0,0,6162,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
"Sporormia.fimetaria",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Sporormia.sp",0,0,6,0,0,0,2,0,0,3,0,0,0,12,0,0,0,2,0,0,13,0,0,0
"Sporormiella.sp",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Stachybotrys.chartarum",0,130,2,62,21,12,0,0,0,5,59,8,11,10,0,0,0,12,0,0,46,375,8,77
"Stachybotrys.microspora",0,0,7,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Stagonospora.sp",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
"Stagonosporopsis.dorenboschii",7,0,3,0,1,0,3,30,0,4,0,2,0,3,23,6,2,2,0,0,48,0,16,0
"Staphylotrichum.sp",0,0,0,0,0,0,0,0,0,4,0,0,6,6,0,0,0,2,0,0,0,0,0,0
"Staurothele.areolata",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Stemphylium.amaranthi",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stemphylium.vesicarium",0,0,0,1037,0,0,0,0,0,0,2676,0,0,0,0,0,0,0,0,854,0,7587,0,1455
"Stephanonectria.sp",0,0,0,0,0,0,0,10,0,7,0,0,0,7,1,0,0,0,0,0,0,0,0,0
"Stereum.hirsutum",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stilbella.byssiseda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Striatibotrys.oleronensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Strobilurus.stephanocystis",0,0,0,120883,0,0,0,0,0,0,0,5,0,0,0,6716,0,0,0,0,0,0,0,0
"Strobilurus.tenacellus",0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stromatinia.narcissi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
"Suillus.collinitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Sydowia.polyspora",2,0,35,0,20,9,27,250,0,15,0,4,19,36,22,3,29,29,3,0,130,0,31,0
"Symmetrospora.gracilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Taeniolella.stilbospora",0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talaromyces.amestolkiae",0,0,20,0,46,0,14,0,0,4,0,14,8,0,0,13511,12,0,5,0,17,0,11,0
"Talaromyces.australis",0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talaromyces.columbinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
"Talaromyces.marneffei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,158,0,77
"Talaromyces.minioluteus",0,0,0,0,0,3,0,0,0,0,0,4,3,13,10,0,0,13,0,0,12,0,0,0
"Talaromyces.proteolyticus",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talaromyces.purpureogenus",1,280,25,0,15,13,0,98,0,15,118,14,18,22,40,1,5,10,4,0,36,59,40,118
"Talaromyces.rugulosus",0,0,2,0,19,12,7,51,0,11,0,16,0,7,36,2,10,13,15,318,18,0,84,0
"Talaromyces.sp",0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Tausonia.pullulans",9,0,9,0,52,4,3,85,1594,10,0,1,2,4,23,0,6,2,1,83,212,0,53,0
"Terfezia.sp",8,0,6,0,6,2,0,2,0,1,0,0,0,113,0,1,2,4,0,0,16,0,1,0
"Tetracladium.furcatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
"Tetracladium.marchalianum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tetracladium.maxilliforme",3,0,0,0,11,13,24,83,0,14,0,7,2,22,26,3,4,23,10,0,73,0,51,0
"Tetracladium.sp",2,592,23,0,135,30,42,262,2772,17,0,18,10,31,55,22,15,36,40,161,246,352,158,0
"Tetragoniomyces.uliginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Thelonectria.rubi",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermomyces.lanuginosus",0,0,0,0,30,0,9,27,0,0,0,1,0,0,21,0,0,0,0,80,19,0,10,0
"Thielavia.basicola",0,0,0,0,0,0,0,14,0,0,0,0,0,0,35,0,3,0,0,0,0,0,6,0
"Titaea.maxilliformis",0,0,0,0,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
"Tomentella.sp",1,0,0,0,0,0,0,37,0,0,246,2,0,0,0,8,0,0,0,99,0,0,0,0
"Torula.sp",0,0,12,0,0,0,0,38,0,0,0,0,7,0,0,0,0,0,2,0,109,0,11,0
"Torulaspora.delbrueckii",0,0,0,0,4,0,4,51,0,4,0,0,0,5,43,5,0,0,1,0,59,0,28,0
"Trechispora.sp",0,0,10,0,61,3,17,112,0,3,135,3,0,0,19,0,14,0,0,0,43,0,90,0
"Triangularia.phialophoroides",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tricellula.aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0
"Trichoderma.aerugineum",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,34,0,0,0
"Trichoderma.asperellum",0,0,0,87,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,92,0,0
"Trichoderma.atroviride",3,0,0,0,0,0,3,26,0,16,0,5,3,12,0,3,3,13,0,100,14,57,25,0
"Trichoderma.citrinoviride",0,0,4,0,0,2,0,54,0,0,0,0,0,0,0,2,0,0,0,0,38,0,1,0
"Trichoderma.compactum",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichoderma.spirale",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0
"Trichoderma.tomentosum",0,5062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichomonascus.ciferrii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
"Trichosporon.asahii",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18,0,4,0
"Trichosporon.sp",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichothecium.roseum",0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,219,0,0,0,0
"Truncatella.laurocerasi",3,0,5,0,0,3,0,9,0,2,0,0,0,3,0,2,6,0,12,0,26,0,26,0
"Tuber.melosporum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Tubeufia.cerea",0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tubeufia.helicomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tulostoma.brumale",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0
"Tumularia.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"Typhula.incarnata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Tyrannosorus.hystrioides",0,0,0,0,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0
"Umbelopsis.dimorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Umbelopsis.sp",4,0,17,0,25,8,15,183,0,10,0,6,0,19,0,6,1,8,3,0,61,0,27,0
"Vermispora.fusarina",0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veronaeopsis.simplex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"Verrucaria.viridula",0,0,5,0,0,0,0,12,0,2,0,0,0,0,16,7,0,0,0,0,0,0,5,0
"Verticillium.dahliae",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Verticillium.isaacii",3,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,7,2,3,0,0,0,0,0
"Vishniacozyma.carnescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
"Vishniacozyma.dimennae",0,0,2,0,0,3,5,0,0,9,0,7,0,13,22,0,4,0,1,0,4,0,12,0
"Vishniacozyma.heimaeyensis",0,0,9,0,12,18,0,14,0,4,0,6,2,22,4,1,3,6,10,130,11,91,5,0
"Vishniacozyma.victoriae",1,0,5,0,20,0,0,15,0,1,69,0,0,2,5,1,11,13,7,123,36,99,10,127
"Volutella.sp",0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,8,0
"Vuilleminia.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Waitea.circinata",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,6,0
"Wallemia.hederae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Wallemia.muriae",1,0,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,5,0,1,0,1,0
"Wallemia.sebi",11,0,14,0,23,9,9,36,0,15,0,5,10,23,3,0,5,14,2,0,34,0,24,0
"Wallrothiella.subiculosa",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0
"Wardomyces.humicola",0,0,0,0,0,4,10,4,0,0,0,0,0,15,28,0,0,2,0,0,0,0,5,0
"Wardomyces.inflatus",0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0
"Wardomycopsis.sp",0,0,0,0,0,4,0,8,0,0,0,0,6,4,0,0,5,0,4,0,0,0,0,0
"Wickerhamomyces.anomalus",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,44,0,0,0
"Wickerhamomyces.onychis",4,0,36,0,0,30,13,46,0,8,0,0,8,7,24,0,0,0,0,0,107,0,78,0
"Wickerhamomyces.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Wilsonomyces.carpophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Xenasmatella.christiansenii",0,0,8,0,0,0,0,9,0,4,56,1,0,5,0,2,0,0,7,0,29,51,24,0
"Yunnania.penicillata",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zasmidium.cellare",0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zasmidium.musigenum",0,0,0,0,0,8,17,35,0,2,0,1,0,0,10,0,0,3,14,0,21,0,23,0
"Zopfiella.marina",0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0
"Zopfiella.sp",0,0,1,81,2,1,14,21,0,8,208,2,4,13,9,1,2,2,4,128,16,0,1,212
"Zygosporium.pseudogibbum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0
"Zygotorulaspora.florentina",0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Zymoseptoria.tritici",3,0,0,0,27,0,0,0,0,0,0,4,0,11,0,11,0,0,0,0,21,0,0,0
